leaf	pustule	chlorosis	background
84,102,48	150,97,0	205,184,74	223,218,214
94,114,58	154,108,0	200,187,73	219,214,210
73,93,35	146,110,0	204,196,85	224,219,216
112,133,69	155,116,2	196,189,78	243,242,237
119,142,74	161,117,0	197,189,75	247,246,241
132,153,89	168,123,0	199,182,68	239,238,233
98,119,53	168,126,0	199,180,66	238,236,232
118,137,77	166,129,0	194,181,67	239,238,233
103,122,61	170,139,12	182,173,63	241,240,235
100,119,57	183,158,54	186,179,73	249,248,244
107,129,64	158,118,3	192,185,73	233,232,227
110,133,65	159,113,0	196,188,73	238,236,232
134,155,91	178,131,0	201,184,70	236,234,230
96,117,51	179,135,0	195,176,61	236,234,230
119,138,78	173,137,0	194,181,67	232,231,226
102,121,60	174,144,15	186,174,64	241,240,235
96,115,54	177,153,44	185,176,73	232,231,226
95,117,51	151,108,0	190,183,70	229,228,223
104,127,58	143,94,0	194,186,71	231,230,225
113,135,67	166,117,0	204,191,76	237,235,231
94,117,47	181,135,0	193,177,61	247,246,241
120,141,77	181,142,0	197,180,67	249,248,244
107,128,63	173,144,3	188,174,66	252,250,246
104,123,62	175,150,38	186,173,71	249,248,244
100,120,55	159,117,0	192,187,74	240,239,234
113,135,67	153,104,0	193,187,71	234,233,228
99,122,53	174,125,0	201,190,74	226,225,220
98,121,52	185,139,0	191,175,59	226,225,220
120,141,77	184,146,0	194,178,64	224,223,218
109,130,65	177,145,0	189,171,64	239,238,233
107,126,66	175,149,32	185,169,68	239,238,233
104,124,59	142,99,0	191,186,73	248,247,242
109,130,65	148,99,0	192,186,70	248,247,242
101,121,56	169,121,0	193,183,65	238,236,232
97,118,52	169,122,0	186,173,55	237,235,231
115,134,74	171,130,0	190,174,59	240,239,234
92,111,49	173,139,0	185,167,59	222,220,216
118,137,77	169,143,21	187,168,68	231,230,225
103,123,58	152,113,0	187,183,69	239,238,233
98,119,53	156,111,0	188,182,65	241,240,235
118,138,74	164,116,0	189,180,63	239,238,233
98,119,53	173,126,0	189,176,59	238,236,232
119,138,78	176,133,0	190,174,59	240,239,234
117,136,76	173,137,0	180,163,54	238,236,232
103,122,61	183,152,37	187,166,68	230,229,224
106,126,62	126,93,0	187,183,72	242,241,236
107,128,63	144,101,0	186,179,67	247,246,241
124,143,83	162,116,0	194,184,67	246,245,240
94,113,52	173,126,0	195,182,67	242,241,236
112,131,70	176,133,0	192,175,65	240,239,234
119,138,78	171,131,0	180,160,53	237,235,231
104,123,62	178,145,28	186,165,67	239,238,233
97,121,40	155,120,28	145,171,66	246,241,227
95,119,38	192,139,61	147,169,68	248,244,226
104,128,48	170,107,28	148,170,69	255,255,241
98,124,40	127,63,0	144,170,65	242,233,221
90,113,24	187,133,61	150,173,71	213,204,195
100,124,33	194,156,81	150,173,71	226,218,211
102,126,36	135,112,16	140,166,62	228,222,219
100,123,43	164,123,37	144,166,64	240,236,221
97,122,39	213,158,83	147,169,68	255,252,234
105,130,47	174,107,35	118,146,42	255,255,253
97,122,35	131,67,0	138,162,72	249,241,229
96,120,29	200,145,78	131,155,66	206,198,188
101,125,31	211,173,102	143,171,74	220,212,204
100,124,30	139,115,32	138,164,71	222,216,212
97,121,40	156,116,26	132,159,65	240,236,221
97,122,39	214,156,81	131,159,61	253,250,232
104,129,43	196,129,62	132,160,62	255,255,255
95,120,29	130,66,0	126,153,54	254,246,234
102,126,36	185,135,68	146,167,61	211,203,193
99,122,28	195,158,89	140,162,58	222,214,207
96,120,25	141,120,36	141,164,62	222,216,212
96,121,37	181,141,57	149,172,69	235,230,216
98,124,37	187,132,54	147,169,66	237,232,218
107,132,44	165,102,26	144,166,64	255,251,236
100,126,31	142,80,0	139,162,58	246,238,226
99,122,28	175,127,59	143,165,62	200,191,182
95,119,22	172,141,68	141,164,62	218,209,202
95,119,22	129,112,25	150,150,69	224,218,214
100,125,41	191,152,65	125,125,41	233,228,215
100,125,38	195,143,63	153,155,74	227,223,208
108,133,45	166,106,25	148,149,66	249,242,228
101,127,33	131,75,0	130,130,48	243,234,222
101,125,31	203,161,90	128,130,47	208,200,190
105,129,35	151,125,46	128,127,39	219,211,203
104,128,34	140,129,44	129,130,45	222,216,211
102,127,41	170,135,39	132,136,50	239,234,221
96,121,31	156,108,5	154,164,58	234,229,215
102,127,37	145,92,0	150,160,60	254,247,233
94,120,24	121,73,0	139,153,59	247,239,227
96,120,23	169,136,53	153,163,56	230,221,212
107,131,38	128,107,12	151,161,61	227,219,212
105,130,31	151,145,59	140,154,60	221,215,210
97,122,35	123,91,0	153,159,54	231,226,212
102,127,37	137,96,0	155,163,65	229,224,209
99,124,33	150,104,2	147,161,69	246,239,224
91,117,19	123,82,0		233,226,211
100,126,29	138,113,20		209,201,191
103,129,34	123,111,9		211,203,196
102,127,27	155,151,60		216,206,202
81,102,25			255,255,253
84,105,34			255,255,255
82,105,33			255,255,255
76,99,24			255,255,255
71,100,23			255,255,255
70,99,17			255,255,255
65,94,2			255,255,255
80,101,24			144,138,131
85,106,36			131,125,118
83,106,34			113,107,100
76,99,24			110,104,96
71,100,23			100,94,86
69,98,16			91,85,78
62,92,0			92,86,79
86,108,32			41,29,21
90,110,41			44,32,24
84,107,36			41,29,21
74,97,21			38,25,17
68,97,18			37,24,15
66,95,10			34,21,12
58,87,0			34,21,12
79,100,22			61,47,42
83,104,33			71,58,53
78,101,29			76,62,57
73,96,20			67,53,48
71,100,23			75,61,56
74,103,22			78,65,59
68,97,9			73,59,54
83,105,28			86,72,67
84,105,33			87,74,68
75,98,25			84,70,65
66,89,9			88,75,70
68,94,15			88,75,70
68,97,18			80,67,62
62,92,4			71,58,53
81,105,26			91,80,74
88,111,39			98,87,81
84,107,34			95,84,77
80,102,30			89,78,72
76,99,26			92,81,75
67,91,19			95,84,77
68,94,17			97,86,80
77,101,22			105,97,90
84,107,34			117,109,102
78,101,27			117,109,102
73,96,22			123,114,107
70,93,17			126,118,110
60,82,11			126,118,110
63,85,10			124,116,108
